CATEGORIA,SUBCATEGORIA,Ano,Producao,Comercio
DERIVADOS,Mistelas,2014,1000,0
DERIVADOS,Néctar de uva,2014,1140,0
DERIVADOS,Licorosos,2014,0,0
DERIVADOS,Compostos,2014,0,0
DERIVADOS,Jeropiga,2014,0,0
DERIVADOS,Filtrado,2014,0,0
DERIVADOS,Frisante,2014,26069,0
DERIVADOS,Vinho leve,2014,0,0
DERIVADOS,Vinho licoroso,2014,36000,0
DERIVADOS,Brandy,2014,0,0
DERIVADOS,Destilado,2014,0,0
DERIVADOS,Bagaceira,2014,0,0
DERIVADOS,Licor de bagaceira,2014,0,0
DERIVADOS,Vinagre,2014,53776,0
DERIVADOS,Borra líquida,2014,50954,0
DERIVADOS,Borra seca,2014,142850,0
DERIVADOS,Vinho Composto,2014,3000,0
DERIVADOS,Pisco,2014,0,0
DERIVADOS,Vinho orgânico,2014,0,0
DERIVADOS,Espumante orgânico,2014,0,0
DERIVADOS,Destilado alcoólico simples de bagaceira,2014,0,0
DERIVADOS,Vinho acidificado,2014,0,0
DERIVADOS,Mosto parcialmente fermentado,2014,0,0
DERIVADOS,Outros derivados,2014,0,0
VINHO DE MESA,VINHO DE MESA,2015,210308560,209198468
VINHO DE MESA,Tinto,2015,169811472,182028785
VINHO DE MESA,Branco,2015,39557250,25760681
VINHO DE MESA,Rosado,2015,939838,1409002
VINHO  FINO DE MESA,VINHO FINO DE MESA (VINIFERA),2015,37148982,0
VINHO FINO DE MESA,Tinto,2015,16745896,0
VINHO FINO DE MESA,Branco,2015,19561966,0
VINHO FINO DE MESA,Rosado,2015,841120,0
SUCO,SUCO,2015,87894468,0
SUCO,Suco de uva integral,2015,52233155,0
SUCO,Suco de uva concentrado,2015,35661313,0
SUCO,Suco de uva adoçado,2015,0,0
SUCO,Suco de uva orgânico,2015,0,0
SUCO,Suco de uva reconstituído,2015,0,0
DERIVADOS,DERIVADOS,2015,107349704,0
DERIVADOS,Espumante,2015,23750,0
