id_Comercio,control_Comercio,Produto,Ano,Quantidade_Comercio,Categoria,Subcategoria,id_Producao,control_Producao,produto,Quantidade_Producao
6.0,vm_Tinto,  Tinto,2009,19576295.0,Vinho  Fino De Mesa,Tinto,,,,0.0
4.0,vm_Branco,  Branco,2009,39214217.0,Vinho De Mesa,Branco,3.0,vm_Branco,Branco,39211278.0
3.0,vm_Rosado,  Rosado,2009,2307580.0,Vinho De Mesa,Rosado,4.0,vm_Rosado,Rosado,2063474.0
2.0,vm_Tinto,  Tinto,2009,193004182.0,Vinho De Mesa,Tinto,2.0,vm_Tinto,Tinto,164143454.0
14.0,ve_Branco,  Branco,2009,0.0,Vinho Especial,Branco,,,,0.0
13.0,ve_Rosado,  Rosado,2009,0.0,Vinho Especial,Rosado,,,,0.0
12.0,ve_Tinto,  Tinto,2009,113.0,Vinho Especial,Tinto,,,,0.0
,,,2009,0.0,Vinho Fino De Mesa (Vinifera),Branco,7.0,vv_Branco,Branco,21366975.0
,,,2009,0.0,Vinho Fino De Mesa (Vinifera),Rosado,8.0,vv_Rosado,Rosado,324550.0
,,,2009,0.0,Vinho Fino De Mesa (Vinifera),Tinto,6.0,vv_Tinto,Tinto,18209043.0
,,,2010,0.0,Derivados,Bagaceira,39.0,de_Bagaceira,Bagaceira,0.0
,,,2010,0.0,Derivados,Base Champenoise champanha,20.0,de_Base Champenoise champanha,Base Champenoise champanha,92082.0
,,,2010,0.0,Derivados,Base Charmat champanha,21.0,de_Base Charmat champanha,Base Charmat champanha,254000.0
,,,2010,0.0,Derivados,Base espumante,18.0,de_Base espumante,Base espumante,0.0
,,,2010,0.0,Derivados,Base espumante moscatel,19.0,de_Base espumante moscatel,Base espumante moscatel,1144508.0
,,,2010,0.0,Derivados,Bebida de uva,22.0,de_Bebida de uva,Bebida de uva,7900.0
,,,2010,0.0,Derivados,Borra líquida,42.0,de_Borra líquida,Borra líquida,64304.0
,,,2010,0.0,Derivados,Borra seca,43.0,de_Borra seca,Borra seca,149981.0
,,,2010,0.0,Derivados,Brandy,37.0,de_Brandy,Brandy,0.0
,,,2010,0.0,Derivados,Compostos,31.0,de_Compostos,Compostos,0.0
,,,2010,0.0,Derivados,Destilado,38.0,de_Destilado,Destilado,0.0
,,,2010,0.0,Derivados,Destilado alcoólico simples de bagaceira,48.0,de_Destilado alcoólico simples de bagaceira ,Destilado alcoólico simples de bagaceira ,0.0
,,,2010,0.0,Derivados,Espumante,16.0,de_Espumante,Espumante,10125.0
,,,2010,0.0,Derivados,Espumante moscatel,17.0,de_Espumante moscatel,Espumante moscatel,703393.0
,,,2010,0.0,Derivados,Espumante orgânico,47.0,de_Espumante orgânico,Espumante orgânico,0.0
,,,2010,0.0,Derivados,Filtrado,33.0,de_Filtrado,Filtrado,0.0
,,,2010,0.0,Derivados,Frisante,34.0,de_Frisante,Frisante,831000.0
,,,2010,0.0,Derivados,Jeropiga,32.0,de_Jeropiga,Jeropiga,69000.0
,,,2010,0.0,Derivados,Licor de bagaceira,40.0,de_Licor de bagaceira,Licor de bagaceira,0.0
,,,2010,0.0,Derivados,Licorosos,30.0,de_Licorosos,Licorosos,0.0
,,,2010,0.0,Derivados,Mistelas,28.0,de_Mistelas,Mistelas,0.0
,,,2010,0.0,Derivados,Mosto concentrado,25.0,de_Mosto concentrado,Mosto concentrado,0.0
,,,2010,0.0,Derivados,Mosto de uva com bagaço,26.0,de_Mosto de uva com bagaço,Mosto de uva com bagaço,0.0
,,,2010,0.0,Derivados,Mosto dessulfitado,27.0,de_Mosto dessulfitado,Mosto dessulfitado,0.0
,,,2010,0.0,Derivados,Mosto parcialmente fermentado,50.0,de_Mosto parcialmente fermentado ,Mosto parcialmente fermentado ,0.0
,,,2010,0.0,Derivados,Mosto simples,24.0,de_Mosto simples,Mosto simples,45912040.0
,,,2010,0.0,Derivados,Néctar de uva,29.0,de_Néctar de uva,Néctar de uva,0.0
