Id,País,2009_Quantidade,2009_Valor,2010_Quantidade,2010_Valor,2011_Quantidade,2011_Valor,2012_Quantidade,2012_Valor,2013_Quantidade,2013_Valor,2014_Quantidade,2014_Valor,2015_Quantidade,2015_Valor,2016_Quantidade,2016_Valor,2017_Quantidade,2017_Valor,2018_Quantidade,2018_Valor,2019_Quantidade,2019_Valor,2020_Quantidade,2020_Valor,2021_Quantidade,2021_Valor,2022_Quantidade,2022_Valor,2023_Quantidade,2023_Valor,Categoria
73,Nicarágua,0.0,0.0,20.0,40.0,39.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Espumante
74,Nigéria,0.0,0.0,0.0,0.0,108.0,506.0,388.0,1984.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,445.0,0.0,0.0,976.0,4029.0,1809.0,7513.0,4613.0,15728.0,0.0,0.0,6705.0,32586.0,0,0,Espumante
75,Noruega,0.0,0.0,0.0,0.0,3693.0,21352.0,1534.0,15933.0,567.0,3904.0,24616.0,119690.0,3192.0,10099.0,0.0,0.0,0.0,0.0,81.0,300.0,345.0,505.0,172.0,321.0,37.0,155.0,483.0,9852.0,0,0,Espumante
76,Nova Zelândia,0.0,0.0,0.0,0.0,291.0,1606.0,150.0,1021.0,150.0,970.0,150.0,554.0,233.0,822.0,0.0,0.0,196.0,1021.0,15.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303,4231,Espumante
77,Países Baixos (Holanda),2250.0,11276.0,2896.0,11444.0,5948.0,18399.0,3854.0,25485.0,1822.0,10000.0,8280.0,51852.0,1665.0,7907.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,923.0,38.0,717.0,86.0,479.0,707.0,6038.0,3,49,Espumante
78,Panamá,0.0,0.0,27.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,740.0,2929.0,6126.0,7163.0,15019.0,1639.0,4514.0,3092.0,32540.0,7936,43115,Espumante
79,Paraguai,20099.0,18376.0,6728.0,24228.0,2513.0,8531.0,3568.0,10442.0,23603.0,81321.0,28038.0,96500.0,29016.0,70845.0,40197.0,123169.0,80951.0,255320.0,92114.0,205510.0,94620.0,224306.0,16231.0,48614.0,45629.0,136909.0,48160.0,183187.0,64662,192975,Espumante
80,Peru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1577.0,6379.0,596.0,1854.0,0.0,0.0,0.0,0.0,0.0,0.0,108,756,Espumante
81,Polônia,1545.0,6859.0,90.0,599.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,1245.0,225.0,2310.0,0.0,0.0,0.0,0.0,23099.0,73608.0,18810.0,57107.0,14.0,19.0,0.0,0.0,0.0,0.0,126,659,Espumante
82,Porto Rico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1736.0,0.0,0.0,0.0,0.0,100.0,1512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Espumante
