Id,País,2009_Quantidade,2009_Valor,2010_Quantidade,2010_Valor,2011_Quantidade,2011_Valor,2012_Quantidade,2012_Valor,2013_Quantidade,2013_Valor,2014_Quantidade,2014_Valor,2015_Quantidade,2015_Valor,2016_Quantidade,2016_Valor,2017_Quantidade,2017_Valor,2018_Quantidade,2018_Valor,2019_Quantidade,2019_Valor,2020_Quantidade,2020_Valor,2021_Quantidade,2021_Valor,2022_Quantidade,2022_Valor,2023_Quantidade,2023_Valor,Categoria
38,Estados Unidos,35695.0,200975.0,123001.0,172488.0,67547.0,333438.0,126129.0,513426.0,91987.0,364136.0,39748.0,136533.0,18450.0,92868.0,22615.0,143306.0,22605.0,170620.0,28542.0,172961.0,389511.0,1023709.0,634243.0,1647310.0,801082.0,2123710.0,732209.0,1964451.0,255198,729055,Espumante
39,Estonia,0.0,0.0,495.0,1860.0,0.0,0.0,369.0,1882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Espumante
40,Falkland (Malvinas),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,2081.0,0,0,Espumante
41,Filipinas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,109.0,0.0,0.0,0.0,0.0,77.0,389.0,20,111,Espumante
42,Filânldia,0.0,0.0,0.0,0.0,1287.0,6359.0,378.0,4084.0,693.0,9556.0,0.0,0.0,0.0,0.0,7522.0,35948.0,0.0,0.0,0.0,0.0,0.0,0.0,1078.0,7065.0,0.0,0.0,0.0,0.0,180,1770,Espumante
43,França,0.0,0.0,990.0,3951.0,1481.0,4436.0,945.0,6116.0,5400.0,22664.0,7808.0,42952.0,16246.0,203297.0,0.0,0.0,0.0,0.0,2163.0,9147.0,3123.0,15835.0,7481.0,37286.0,1015.0,5366.0,772.0,4308.0,0,0,Espumante
44,Gana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810.0,3696.0,0.0,0.0,654.0,3555.0,12729.0,58137.0,4719,35778,Espumante
45,Gibraltar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Espumante
46,Granada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1122.0,3050.0,0,0,Espumante
47,Grécia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,391.0,74.0,280.0,97.0,309.0,147.0,360.0,38.0,177.0,59,320,Espumante
48,Guatemala,0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,1052.0,446.0,2933.0,760.0,4318.0,0.0,0.0,284.0,1527.0,0,0,Espumante
49,Guiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,93.0,1.0,6.0,22.0,221.0,0.0,0.0,4.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5553.0,26216.0,14084,71163,Espumante
50,Guiné Equatorial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7738.0,17056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Espumante
51,Guiné-Bissau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Espumante
52,Haiti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1331.0,2737.0,4978.0,11440.0,4842.0,9417.0,3969,10646,Espumante
53,Honduras,0.0,0.0,0.0,0.0,55.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Espumante
54,Hong Kong,120.0,505.0,0.0,0.0,424.0,1620.0,320.0,2753.0,586.0,4149.0,7556.0,32582.0,414.0,2693.0,225.0,1704.0,450.0,2705.0,225.0,1704.0,2801.0,10173.0,4124.0,11770.0,3669.0,13135.0,1175.0,5328.0,1355,5169,Espumante
55,Hungria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,668.0,0.0,0.0,0,0,Espumante
56,Ilha de Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,0,0,Espumante
57,Índia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,40.0,25.0,80.0,0.0,26.0,0.0,0.0,0,0,Espumante
58,Iraque,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Espumante
59,Irlanda,0.0,0.0,360.0,3012.0,1335.0,9411.0,450.0,4200.0,1373.0,14599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,26.0,0.0,0.0,0.0,0.0,6.0,22.0,0,0,Espumante
60,Islândia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,45.0,0.0,0.0,0.0,0.0,0,0,Espumante
61,Itália,2369.0,6590.0,99.0,390.0,1602.0,9002.0,90.0,1894.0,315.0,1926.0,180.0,832.0,0.0,0.0,135.0,780.0,1467.0,8382.0,1307.0,5331.0,522.0,2445.0,150.0,253.0,172.0,879.0,503.0,3702.0,1460,19905,Espumante
62,Japão,2900.0,8650.0,4737.0,15240.0,632.0,2480.0,1197.0,8217.0,17009.0,83445.0,22290.0,104395.0,1826.0,18118.0,3658.0,14766.0,48604.0,133203.0,7853.0,34532.0,10242.0,41567.0,7294.0,28930.0,6811.0,27860.0,2970.0,12049.0,2311,9708,Espumante
63,Jordânia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,103.0,0.0,0.0,0.0,0.0,0,0,Espumante
64,Letônia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,2426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Espumante
65,Líbano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,108.0,0.0,0.0,540.0,1930.0,1350.0,4810.0,0,0,Espumante
66,Libéria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,444.0,1207.0,2420.0,1105.0,6684.0,795.0,2509.0,1105.0,3367.0,973,3358,Espumante
67,Luxemburgo,993.0,3963.0,846.0,4975.0,471.0,2873.0,0.0,0.0,765.0,3973.0,1080.0,5790.0,0.0,0.0,45.0,521.0,360.0,1825.0,113.0,655.0,495.0,2474.0,0.0,0.0,0.0,0.0,0.0,0.0,18,305,Espumante
68,Maldivas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3023.0,12327.0,3221.0,10680.0,4577,20204,Espumante
69,Malta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.0,1317.0,1692.0,2862.0,364.0,2289.0,191.0,822.0,1472,44498,Espumante
70,"Marshall, Ilhas",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,604.0,1594.0,2853.0,2093.0,4587.0,1057.0,4087.0,1154.0,3438.0,1375,4886,Espumante
71,Montenegro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,24.0,0.0,0.0,0,0,Espumante
72,México,0.0,0.0,95328.0,24000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737.0,2476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Espumante
